,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
2541,【花玲】KING,花园花玲,德丽莎 日文翻唱 翻唱,音乐 翻唱,1331554,1017915,131654,59306,61319,6686,2015,4224,5793.965278,0.098872445,0.044538937,0.046050705,0.005021201,106,2021/3/28 0:00,2021/11/24 9:58
2542,【愚人节特辑】FPX.GimGoon 重新连接！,金贡GimGoon,FPX 海贼王 LPL 英雄联盟,游戏 电子竞技,1644324,448719,110938,61345,13461,4861,2378,3333,5678.580556,0.067467239,0.037307124,0.008186343,0.00295623,106,2021/4/1 19:23,2021/11/24 9:58
2543,卧槽卧槽！不得不说周星驰才是审美祖师爷！！,柒_小诗,蔡少芬 周星驰 TVB 影视混剪 影视剪辑,影视 影视剪辑,4915854,34273,181127,16767,41026,3914,3969,2938,5806.0875,0.03684548,0.003410801,0.008345651,0.000796199,106,2021/3/27 11:52,2021/11/24 9:58
2544,【亮记生物鉴定】鉴定网友拍的春花,无穷小亮的科普日常,生物 科普,知识 科学科普,2962669,6059930,216149,23048,16524,7076,10091,4004,5782.951667,0.072957526,0.007779472,0.005577403,0.002388387,106,2021/3/28 11:01,2021/11/24 9:58
2545,手绘100张，耗时1个月，我终于破解了【达芬奇密码书】的全部秘密！,GM的秘密基地,手工 vlog,生活 手工,2884942,1254469,273938,284680,91836,7597,17237,2683,5700.215556,0.094954422,0.098677894,0.031832876,0.002633329,106,2021/3/31 21:45,2021/11/24 9:58
2546,这才叫三连！B友必看！这辈子没这么卧槽过！,机智的Kason,技术宅 手工 搞笑,生活 手工,10708462,1027075,1551964,1650697,658242,25926,11814,8106,5822.746667,0.144928749,0.15414884,0.061469331,0.002421076,106,2021/3/26 19:13,2021/11/24 9:58
2547,为什么你的恋爱总谈崩？心理咨询师说出真相我才恍然大悟,vivi可爱多,情侣,生活 日常,1910111,2072051,137990,67271,52514,40437,11479,6051,5774.95,0.072241875,0.035218372,0.027492643,0.021169974,106,2021/3/28 19:01,2021/11/24 9:58
2548,超越你们自己的极限,古呀老师,奥特曼 特摄,生活 搞笑,1949153,1008500,168004,90953,24213,9184,4913,3042,5727.965,0.086193336,0.046662833,0.012422319,0.00471179,106,2021/3/30 18:00,2021/11/24 9:58
2549,我这人运气一直不好，现在才知道全用来投胎了。,爱睡觉的_Koala,历史 影视剪辑,影视 影视剪辑,3686100,168070,330961,90566,74479,12846,7967,8057,5734.12,0.089786224,0.024569599,0.020205366,0.003484984,106,2021/3/30 11:51,2021/11/24 9:58
2550,【嘉倩】我曾是全职家庭主妇，离婚后去了冰岛上班,亲爱的嘉倩,经济 脱口秀 情侣 短片 人文 vlog,知识 财经商业,2291347,798647,153227,135543,43904,32764,36062,12440,5726.024722,0.066872019,0.059154288,0.019160782,0.014299013,106,2021/3/30 19:56,2021/11/24 9:58
2551,全片基本没有毒贩，但却让我对毒贩充满了恨！,公安部新闻宣传局,警察,资讯 社会,2275176,131737,210162,162303,53791,12492,13053,4725,5688.966944,0.092371755,0.071336459,0.023642567,0.005490564,106,2021/4/1 9:00,2021/11/24 9:58
2552,（家 家 有 本 难 念 的 经）,星有野,手书 绘画,动画 短片·手书·配音,3234991,2059537,302181,125473,52688,7856,3185,8083,5678.328056,0.093410152,0.038786198,0.016286908,0.002428446,106,2021/4/1 19:38,2021/11/24 9:58
2553,【罗翔】给“坏人”辩护的律师也是坏人吗？,罗翔说刑法,知识分享官 罗翔,知识 社科·法律·心理,2538738,19601816,278782,132750,55753,14764,14476,11776,5805.9675,0.109811253,0.05228976,0.021960911,0.005815488,106,2021/3/27 12:00,2021/11/24 9:58
2554,“得加钱~~”,子彧星塵,李连杰 甄子丹 成龙 刘德华 周杰伦 影视混剪,影视 影视剪辑,3771175,179761,348815,109976,63005,6786,6592,3042,5703.511667,0.092495045,0.029162264,0.016706995,0.001799439,106,2021/3/31 18:27,2021/11/24 9:58
2555,暴发户单曲 《我摊牌了》,倒悬的橘子,沈腾 鬼畜调教 鬼畜,鬼畜 鬼畜调教,6899244,2454026,514067,228774,137723,39455,7499,4891,5517.9725,0.074510628,0.033159285,0.019962042,0.005718743,107,2021/4/8 12:00,2021/11/24 9:58
2556,笑死，根本笑不死。,橘癫疯Oswald,搞笑,生活 搞笑,8293666,808464,766243,144576,216420,66671,5497,9567,5535.3125,0.092388939,0.017432098,0.026094612,0.008038785,107,2021/4/7 18:39,2021/11/24 9:58
2557,《两 只 老 虎 爱 社 死》,三w点c,,生活 搞笑,8206657,7418,612828,97582,132763,71440,13756,9184,5611.409167,0.074674499,0.011890591,0.016177476,0.008705128,107,2021/4/4 14:33,2021/11/24 9:58
2558,尹正一个月减肥成功！深扒他349个吃饭视频，瘦身秘诀大公开！,叔贵,尹正 减肥 健身 美食,运动 健身,1587078,2065037,84831,22245,47368,12173,1598,2170,5511.590278,0.053451059,0.014016324,0.029846044,0.00767007,107,2021/4/8 18:23,2021/11/24 9:58
2559,金 刚 大 占 哥 斯 拉,_青红造了个白_,金刚 哥斯拉,影视 影视剪辑,7820787,894473,626279,401158,220324,177245,24118,10789,5614.184167,0.08007877,0.051293815,0.028171589,0.02266332,107,2021/4/4 11:47,2021/11/24 9:58
2560,一个人，成为人类活着的动画之神！,狂阿弥_,宫崎骏,影视 影视杂谈,2206972,1544972,257110,255935,109037,22666,8822,5010,5588.781944,0.116498986,0.115966582,0.049405702,0.01027018,107,2021/4/5 13:11,2021/11/24 9:58
2561,当我学了三年动画，做了十二谭,MAX-小仙女,动画短片,动画 综合,3613320,803148,112752,10439,12816,25904,3956,3158,5519.341111,0.031204543,0.002889033,0.003546877,0.00716903,107,2021/4/8 10:38,2021/11/24 9:58
2562,【明日方舟】大家以后睡觉一定记得要关手机啊，痛失6万合成玉,kirito光,明日方舟,游戏 手机游戏,5339654,41072,334959,193746,138677,90900,12658,15697,5569.355833,0.062730469,0.036284373,0.025971158,0.017023575,107,2021/4/6 8:37,2021/11/24 9:58
2563,课 堂 请 勿 对 对 子 13 (上) ！！！,三十六贱笑,沙雕配音 是在下输了 配音 历史 搞笑,动画 短片·手书·配音,4281475,4580499,499406,440792,113316,16833,32263,5815,5590.474722,0.116643446,0.102953305,0.02646658,0.003931589,107,2021/4/5 11:30,2021/11/24 9:58
2564,义 郑 词 严,仙道居士,鬼畜调教 鬼畜,鬼畜 鬼畜调教,2934161,162632,258431,171010,91572,13894,2337,3268,5661.900556,0.088076626,0.058282419,0.031208921,0.004735255,107,2021/4/2 12:04,2021/11/24 9:58
2565,罗汉鬼套路：LOL掘墓最强套路！百鬼夜行！！！,罗汉解说,英雄联盟,游戏 电子竞技,2996916,2665570,195302,104751,28889,36048,7318,5886,5522.550278,0.065167659,0.034952932,0.009639576,0.012028365,107,2021/4/8 7:25,2021/11/24 9:58
2566,世界上最优雅的纸飞机，Zephyr曲翼纸飞机,纸飞君,折纸 手工,生活 手工,5789718,498091,228444,66495,227186,9083,3899,2858,5687.072222,0.039456844,0.011485015,0.039239562,0.001568816,107,2021/4/1 10:54,2021/11/24 9:58
2567,小米高端路的最大障碍——MIUI「木羽搞机」,木羽说科技,,科技 数码,2856252,613987,190990,126710,39029,32919,16603,24729,5535.975556,0.066867349,0.044362332,0.013664411,0.011525244,107,2021/4/7 18:00,2021/11/24 9:58
2568,【恋爱的感觉！】初中up与粉丝超甜翻唱《love is an open door》快来领取渣男的虚情假意！,朝烟今天唱歌了没,全能音乐挑战赛 翻唱,音乐 翻唱,6135603,1418938,325379,113274,72216,24749,6627,7066,5651.563889,0.053031299,0.018461755,0.011769992,0.00403367,107,2021/4/2 22:24,2021/11/24 9:58
2569,【原神动画】风 花 日 记,洛飕飕,原神,动画 短片·手书·配音,2369354,237016,254374,168674,109220,11619,8946,3081,5655.975278,0.107360065,0.071189869,0.046096953,0.004903868,107,2021/4/2 18:00,2021/11/24 9:58
2570,全员变态，没有变态制造变态也要上！！开年口碑最炸《窥探》9-10,小片片说大片,李昇基 影评,影视 影视杂谈,3040981,5064254,281859,149812,28758,4497,18659,3000,5560.130833,0.092686867,0.049264366,0.009456817,0.001478799,107,2021/4/6 17:50,2021/11/24 9:58
2571,【罗翔】罪犯真的是基因所决定的吗？我对天生犯罪人理论的看法,罗翔说刑法,知识分享官 罗翔 人文,知识 社科·法律·心理,1657130,19601822,181447,56586,21149,6777,22051,5123,5541.975556,0.109494729,0.034146989,0.012762427,0.004089601,107,2021/4/7 12:00,2021/11/24 9:58
2572,千万不要把沙发改装成马桶,天才小熊猫本人,,生活 搞笑,11316942,1342254,458750,143749,77218,77808,10008,6140,5679.900278,0.040536569,0.012702106,0.006823221,0.006875356,107,2021/4/1 18:04,2021/11/24 9:58
2573,【半佛】为啥职场不说人话？,硬核的半佛仙人,职场 财经,知识 财经商业,2023028,6255889,142619,65759,41701,29962,6828,3781,5582.066667,0.070497788,0.032505235,0.02061316,0.014810472,107,2021/4/5 19:54,2021/11/24 9:58
2574,物理老师用杯子成功留声并回放,创坊科教,科学 科普,知识 科学科普,6681302,72393,463330,10395,64018,10619,1794,3602,5738.252778,0.069347262,0.001555834,0.009581665,0.001589361,107,2021/3/30 7:43,2021/11/24 9:58
2575,自制可以横着走的概念车,手工耿,技术宅 汽车 手工,生活 手工,10968506,6006980,1049728,837096,182952,137634,92103,21985,5630.972778,0.095703827,0.076318142,0.016679756,0.012548108,107,2021/4/3 19:00,2021/11/24 9:58
2576,她总是只留下电话号码,老坚果然翁,万恶之源 搞笑,动画 综合,3899945,147946,284605,140703,87581,33100,2430,2001,5638.945556,0.07297667,0.036078201,0.022456983,0.008487299,107,2021/4/3 11:01,2021/11/24 9:58
2577,三星堆扫地僧！默默拼图40年，拼出国宝上千件！,盗月社食遇记,历史 手工 人文,知识 人文历史,1453318,6294627,188851,147956,31954,5142,9719,2514,5558.846389,0.12994472,0.101805661,0.021986929,0.003538111,107,2021/4/6 19:07,2021/11/24 9:58
2578,【绢花】捣鼓了一身看花的衣裳，和我家老小孩一起拥抱春天！,李子柒,手工 美食,美食 田园美食,3061423,7928020,342149,230573,45456,16315,38651,11274,5556.926111,0.111761426,0.075315629,0.014847997,0.005329221,107,2021/4/6 21:03,2021/11/24 9:58
2579,【腱鞘炎】90%的人可能存在的慢性损伤！,健身界的托尼老师,,运动 健身,1503922,34139,42746,20125,71260,22994,660,3792,5636.964722,0.028423017,0.013381678,0.047382777,0.015289357,107,2021/4/3 13:00,2021/11/24 9:58
2580,【依依酱】真人还原两只老虎爱跳舞（大型社死现场）,圆脸依依酱,搞笑,舞蹈 舞蹈综合,2332092,45095,124651,55341,15630,13726,4825,4601,5594.476944,0.053450293,0.023730196,0.006702137,0.005885703,107,2021/4/5 7:30,2021/11/24 9:58
2581,【warma/怒九】姐妹俩打打闹闹的日常【电台】,Warma,电台,生活 日常,2006969,2908460,187463,114634,63192,4793,17880,3948,5661.9775,0.093406027,0.057117972,0.031486286,0.002388178,107,2021/4/2 12:00,2021/11/24 9:58
2582,当国人在游戏里尝试战术穿插【解说全覆盖26期】,南云鸟羽,战地5 少女前线 搞笑 单机游戏,游戏 单机游戏,3570586,1150456,192811,99286,44779,8907,9891,5619,5606.973611,0.05399982,0.02780664,0.012541079,0.002494549,107,2021/4/4 19:00,2021/11/24 9:58
2583,火柴人 VS 我的世界系列 第二十二集 跑酷,火柴人AlanBecker,火柴人 我的世界,动画 短片·手书·配音,4705922,1020384,213530,142954,59747,8480,13586,3231,5585.285278,0.045374743,0.030377469,0.012696131,0.001801985,107,2021/4/5 16:41,2021/11/24 9:58
2584,打 上 水 花,嘤乐人-皮咔,全能音乐挑战赛 米津玄师 演奏,音乐 演奏,3510404,233953,404072,194021,133895,19682,2720,2939,5656.478056,0.115106979,0.055270277,0.038142333,0.005606762,107,2021/4/2 17:30,2021/11/24 9:58
2585,我的工资只配我工作八个小时,狈总,搞笑,生活 搞笑,5926591,1385846,249091,24733,38442,26566,1153,8267,5561.081667,0.042029389,0.004173225,0.00648636,0.004482509,107,2021/4/6 16:53,2021/11/24 9:58
2586,老爸评测提醒！这种产品坑了你爷爷奶奶20年！【老爸评测】,老爸评测,健康 吃货 美食 科普,生活 日常,3574655,3430379,147788,22614,20946,37574,1483,4261,5537.146944,0.04134329,0.006326205,0.005859586,0.010511224,107,2021/4/7 16:49,2021/11/24 9:58
2587,花月成双 【BDF2021主题曲】,舞蹈区锦鲤姬,中国舞 中国风 古风,舞蹈 中国舞,1760090,275835,73014,30705,45967,10198,2634,2380,5685.978056,0.041483106,0.017445131,0.026116278,0.005794022,107,2021/4/1 12:00,2021/11/24 9:58
2588,15W日元挑战5000日元一回的超豪华扭蛋机！,飞社长,手办模玩 玩具 搞笑,生活 搞笑,2146581,1851462,221670,255005,19566,2826,8096,2185,5636.8675,0.103266543,0.11879589,0.00911496,0.001316512,107,2021/4/3 13:06,2021/11/24 9:58
2589,全球最大外挂团队Cheat ninja覆灭记,国电武术馆馆长,和平精英 吃鸡,游戏 手机游戏,1206270,1443288,86199,34254,13429,5397,4329,4892,5541.978611,0.071459126,0.028396628,0.011132665,0.004474123,107,2021/4/7 12:00,2021/11/24 9:58
2590,【才浅】15天花20万元用500克黄金敲数万锤纯手工打造三星堆黄金面具,才疏学浅的才浅,国家宝藏 历史 技术宅 手工 DIY 人文,科技 极客DIY,12205465,3701381,2191518,2340699,585278,112324,203946,38665,5420.011389,0.179552192,0.191774668,0.047952126,0.009202763,108,2021/4/12 13:58,2021/11/24 9:59
2591,【何同学】2021年了，AR眼镜可以做什么？,老师好我叫何同学,黑科技,科技 数码,8463102,8746337,1020951,933832,237180,40059,40336,15604,5485.866111,0.120635554,0.110341575,0.028025185,0.004733371,108,2021/4/9 20:07,2021/11/24 9:59
2592,【冰冰vlog.006】吸猫猫的喵酱，一天撸到30多只猫！,吃花椒的喵酱,宠物医院 萌宠,动物圈 喵星人,6211682,4953061,582842,354786,88759,29777,27766,24568,5322.367222,0.09382998,0.057115931,0.014289044,0.00479371,108,2021/4/16 15:37,2021/11/24 9:59
2593,迪迦真人CG短片《这·就是光》,特效小哥studio,迪迦奥特曼 奥特曼 特摄,动画 特摄,1634839,1919987,129897,42383,24561,5157,3401,2211,5344.05,0.07945553,0.025924877,0.015023498,0.003154439,108,2021/4/15 17:56,2021/11/24 9:59
2594,【毕业设计】【动画短片】《冲破黑暗 Out of Darkness》,Ragnar天曦,动画短片 短片,动画 短片·手书·配音,4720418,30653,625261,671878,329117,75738,16992,9566,5531.930833,0.13245882,0.142334429,0.069722003,0.016044766,108,2021/4/7 22:03,2021/11/24 9:59
2595,顶级烂完！海的这边是小丑！直球吐槽进击的巨人结局,瓶子君152,三笠 动漫杂谈 搞笑,动画 综合,8510452,3199531,575333,346435,136498,103560,27606,50107,5464.772778,0.067603107,0.040707004,0.016038866,0.012168566,108,2021/4/10 17:12,2021/11/24 9:59
2596,叶问有枪,小芃路子野,叶问 甄子丹 搞笑,生活 搞笑,12875559,345528,742154,335768,271301,190958,15799,7359,5467.216389,0.057640527,0.026077936,0.021071007,0.014831045,108,2021/4/10 14:46,2021/11/24 9:59
2597,我们疯了！【新概念倒放挑战】,徐大虾咯,搞笑挑战 搞笑,生活 搞笑,5399798,7107789,606636,365008,117810,70601,34638,8731,5440.948333,0.112344203,0.067596603,0.021817483,0.013074748,108,2021/4/11 17:02,2021/11/24 9:59
2598,论：如何把羊肉，做成素菜,绵羊料理,一人食 烹饪 家常菜 厨艺 美食,美食 美食制作,7712049,8768327,712695,405981,85231,10113,20745,8435,5460.896944,0.092413184,0.05264243,0.011051667,0.001311325,108,2021/4/10 21:05,2021/11/24 9:59
2599,我拥有世界上最大的狼！油管1亿播放的加拿大黑狼来了！,安德烈的狼世界,萌宠星探官 俄罗斯 萌宠,动物圈 野生动物,5097881,227620,313257,79514,31410,10019,6631,4859,5370.950278,0.061448472,0.015597461,0.006161384,0.001965326,108,2021/4/14 15:02,2021/11/24 9:59
2600,真人卡牌特效 大乱斗！,神奇的老皮VFX,VR 游戏王 炉石传说 桌游棋牌,动画 综合,5121019,2470204,314537,194354,72701,34786,15583,5652,5492.431667,0.061420784,0.037952212,0.014196589,0.006792789,108,2021/4/9 13:33,2021/11/24 9:59
2601,贵州老哥六年守身如玉？我从来没见过这么努力的爱豆！【创造营2021】,三代鹿人,综艺,娱乐 综艺,3430877,5470406,298551,97939,32934,23659,35026,17078,5350.832778,0.087018858,0.028546345,0.009599295,0.006895904,108,2021/4/15 11:09,2021/11/24 9:59
2602,《阴阳师》全新动画剧场「天域篇·上篇」（帝释天CV：神谷浩史）,网易阴阳师手游,神谷浩史 声优 阴阳师,游戏 手机游戏,2752413,1563608,155781,120710,95864,99340,23404,12874,5420.815278,0.056597974,0.043856064,0.034829075,0.036091967,108,2021/4/12 13:10,2021/11/24 9:59
2603,【半佛】氢弹可以解决核电站废水问题？,硬核的半佛仙人,财经 搞笑,知识 财经商业,4373214,6255889,301416,98876,49786,47364,22280,16799,5436.688333,0.068923222,0.022609458,0.011384305,0.010830478,108,2021/4/11 21:17,2021/11/24 9:59
2604,他们，拯救了北大！高燃民国历史剧《觉醒年代》P2,木鱼水心,影视杂谈,影视 影视杂谈,3362803,7956167,324130,194083,54252,9312,42044,3571,5361.734722,0.096386853,0.057714651,0.01613297,0.002769119,108,2021/4/15 0:15,2021/11/24 9:59
2605,C4炸弹之 防 空 导 弹 ！【C4快乐阴人流#17】,鲁大能,STEAM 吃鸡 搞笑,游戏 网络游戏,2741475,1959500,283826,206485,54212,19306,12447,3169,5373.981389,0.103530399,0.075318943,0.019774756,0.007042194,108,2021/4/14 12:00,2021/11/24 9:59
2606,【广场往事】广场上跳的不是舞，是人情世故，和《两只老虎》,导演小策,搞笑,生活 搞笑,4498831,2593481,368726,319916,69594,48415,17093,4334,5365.601944,0.081960403,0.071110917,0.015469352,0.010761685,108,2021/4/14 20:23,2021/11/24 9:59
2607,看了就知道，老头乐到底有多么危险,袁启聪,跑车 汽车 搞笑,汽车 摩托车,3711887,203616,194643,152590,52172,74662,23638,6649,5392.307778,0.052437749,0.041108471,0.014055385,0.020114298,108,2021/4/13 17:40,2021/11/24 9:59
2608,加速同调连光都可以超越【水无月菌】,水无月菌,桌游棋牌之主 游戏王 桌游棋牌,游戏 桌游棋牌,6270772,2074786,324830,291254,75178,23565,14603,10702,5486.1525,0.05180064,0.046446275,0.011988636,0.003757911,108,2021/4/9 19:50,2021/11/24 9:59
2609,加时绝杀韩国！中国女足晋级东京奥运会,央视新闻,东京奥运会 足球 体育,资讯 环球,1246256,7558100,108755,26693,8253,6673,11053,6471,5390.445833,0.087265377,0.021418553,0.006622235,0.005354438,108,2021/4/13 19:32,2021/11/24 9:59
2610,坚持做了4年up主，我做了一个决定,盗月社食遇记,搞笑,生活 日常,3320222,6294628,396640,192928,36240,3459,21029,6570,5440.983611,0.119461891,0.058106958,0.010914933,0.001041798,108,2021/4/11 17:00,2021/11/24 9:59
2611,小心！你的个人隐私容易被这样泄漏,凉风Kaze,,知识 社科·法律·心理,1975170,8203025,279558,99184,26709,5592,7581,7951,5363.985,0.141536172,0.050215424,0.01352238,0.002831149,108,2021/4/14 22:00,2021/11/24 9:59
2612,电影最TOP：他，定义了演技,电影最TOP,影评,影视 影视杂谈,1924360,4064362,149010,116488,32149,4048,10831,1893,5365.234167,0.077433536,0.060533372,0.016706334,0.002103557,108,2021/4/14 20:45,2021/11/24 9:59
2613,【毕导】记住两句简单口诀，保你石头剪刀布胜率超过80%！,毕导THU,知识分享官 科普,知识 科学科普,2728060,4621591,283344,126767,65609,15595,69842,5453,5391.413333,0.103862818,0.04646782,0.024049691,0.005716516,108,2021/4/13 18:34,2021/11/24 9:59
2614,优秀教师老番茄,老番茄,搞笑,游戏 单机游戏,5672164,16531774,326662,66302,38756,4805,16302,5196,5491.987778,0.057590366,0.011689013,0.006832666,0.000847119,108,2021/4/9 14:00,2021/11/24 9:59
2615,杀人开关开启！变态猎杀变态，太刺激了！开年口碑最炸《窥探》11,小片片说大片,李昇基 影评,影视 影视杂谈,2479227,5064254,214715,100529,20679,4000,12488,2386,5393.882222,0.086605623,0.040548526,0.008340906,0.001613406,108,2021/4/13 16:06,2021/11/24 9:59
2616,搞潮大会,小潮院长,搞笑,生活 搞笑,6612783,7040396,525376,203777,68866,4565,25891,9703,5446.9875,0.079448547,0.030815619,0.010414072,0.00069033,108,2021/4/11 11:00,2021/11/24 9:59
2617,你我都是商品！一个没人能逃脱的「智能陷阱」！,木鱼水心,,影视 影视杂谈,1305029,7956168,113639,78066,40800,20420,9174,3213,5505.320278,0.087077758,0.05981936,0.031263673,0.015647162,108,2021/4/9 0:40,2021/11/24 9:59
2618,用火影告诉你《进击的巨人》大结局有多狗血！,锅盖哒,佐助 搞笑,动画 综合,1956376,312283,113226,65930,36384,42510,6601,7636,5416.400833,0.057875378,0.033700066,0.018597652,0.021728952,108,2021/4/12 17:35,2021/11/24 9:59
2619,厨师长教你：“汉源坛子肉”的传统做法，皮糯肉耙，醇香四溢,美食作家王刚R,家常菜 厨艺 美食,美食 美食制作,1838807,6041031,172264,99341,18472,6434,7970,3375,5440.985,0.09368248,0.054024702,0.010045644,0.003499008,108,2021/4/11 17:00,2021/11/24 9:59
2620,22娘：我只会心疼哥哥~,空耳狂魔,万恶之源 搞笑,动画 MMD·3D,3024312,1573918,272639,33504,34055,7338,1326,2088,5373.733611,0.090149098,0.011078222,0.011260412,0.002426337,108,2021/4/14 12:15,2021/11/24 9:59
2621,15岁女孩爆红揭开了流行乐坛最后的遮羞布！,周雨思Yusi,编曲 乐评盘点 欧美音乐 人文 科普,音乐 音乐综合,2908677,166909,173533,64439,29556,7049,12712,10664,5366.455833,0.059660457,0.022154058,0.010161321,0.002423439,108,2021/4/14 19:32,2021/11/24 9:59
2622,那些颠覆你人生观的厚黑心理技巧，堪比外挂！【铁木君】,进击的铁木君,心理学 人文,知识 社科·法律·心理,2944741,758615,203025,89111,156728,6244,8683,2218,5512.449167,0.068944943,0.030261065,0.053223017,0.00212039,108,2021/4/8 17:32,2021/11/24 9:59
2623,【罗翔】蔡姓艺人微博转发过亿，粉丝应援APP开发者蔡某被判刑,罗翔说刑法,知识分享官 罗翔,知识 社科·法律·心理,2595309,19601830,239274,41537,15784,6293,14328,7412,5397.986944,0.092194802,0.016004645,0.006081742,0.002424759,108,2021/4/13 12:00,2021/11/24 9:59
2624,这 不 是 馒 头 ！,大碗拿铁,小吃 4K 美食,美食 美食制作,3256784,2680562,223697,157786,34614,1757,5675,2152,5447.486667,0.068686471,0.048448408,0.010628276,0.000539489,108,2021/4/11 10:30,2021/11/24 9:59
2625,【炸串】同行：好家伙！10万都不卖的炸串配方，你又免费教？,我的样子平平无奇,小吃 美食,美食 美食制作,3249984,2078678,152214,105011,89941,13659,3108,2002,5487.986667,0.046835307,0.032311236,0.02767429,0.00420279,108,2021/4/9 18:00,2021/11/24 9:59
2626,小陆：遇到事情，不能坐以待毙！,古呀老师,奥特曼 特摄,生活 搞笑,1812977,1008499,163133,76508,20923,7806,3639,3045,5415.906111,0.089980733,0.042200204,0.011540687,0.004305625,108,2021/4/12 18:05,2021/11/24 9:59
2627,【阿斗】神作回归！迈克马宏斗智斗勇，7人亡命天涯各遇危机！经典美剧《越狱》第二季1-5,阿斗归来了,,影视 影视杂谈,2174849,4182838,150498,80808,14964,1485,10577,1833,5342.185556,0.069199287,0.037155683,0.006880478,0.000682806,108,2021/4/15 19:48,2021/11/24 9:59
2628,【韩美娟人走嘴留系列】笑吐了！被龚俊迷倒？被利路修抢剧情？,韩美娟Amir,韩美娟 综艺 搞笑,娱乐 综艺,3563212,886596,226739,35425,17640,10104,14727,3724,5435.891111,0.063633317,0.009941873,0.00495059,0.002835644,108,2021/4/11 22:05,2021/11/24 9:59
2629,【医学博士】长期戴隐形眼镜会瞎吗？I 隐形眼镜到底有多脏,兔叭咯,生物 健康 科学 美妆 科普 搞笑,知识 科学科普,1620374,5543000,158339,60333,48933,23169,3960,3643,5366.938056,0.097717564,0.037233997,0.030198584,0.014298551,108,2021/4/14 19:03,2021/11/24 9:59
2630,说唱diss   倒悬的橘子VS王老六,倒悬的橘子,全能音乐挑战赛 原创歌曲 RAP 说唱,音乐 原创音乐,4660371,2454026,415898,262196,121802,31546,46535,7131,5157.990278,0.089241393,0.056260757,0.026135687,0.006768989,109,2021/4/23 12:00,2021/11/24 9:59
2631,《我只会心疼哥哥》纯爱版,托马斯家的,鬼畜 短片 搞笑,生活 搞笑,6345019,900527,293764,69148,47375,58971,20662,7396,5173.830833,0.046298364,0.010897997,0.007466487,0.009294062,109,2021/4/22 20:09,2021/11/24 9:59
2632,两 只 老 虎 气 突 苏,litterzy,演奏,音乐 演奏,3310407,548346,223895,136040,101391,51982,12673,4385,5299.413611,0.067633678,0.041094645,0.030627956,0.015702601,109,2021/4/17 14:34,2021/11/24 9:59
2633,史诗巨制真人版巨人！进击的大妈毁天灭地！,神奇的老皮VFX,,动画 综合,1111544,2470203,114829,64380,22145,7567,1874,1801,5180.170556,0.103305852,0.057919435,0.019922738,0.006807648,109,2021/4/22 13:49,2021/11/24 9:59
2634,混沌天地的开辟，除了盘古竟然还有这么多人？中国神话体系完全解析【开辟篇】上,阿斗归来了,,知识 人文历史,4394091,4182838,329839,176734,92903,7663,15941,6742,5246.895833,0.075064217,0.040220833,0.021142712,0.001743933,109,2021/4/19 19:05,2021/11/24 9:59
2635,不要“做”挑战？（第十二期）,小潮院长,桌游棋牌之主 卡牌游戏 桌游棋牌 vlog 搞笑,游戏 桌游棋牌,10121356,7040396,648646,272652,86714,37087,35829,7813,5273.778611,0.064086867,0.026938288,0.008567429,0.003664232,109,2021/4/18 16:13,2021/11/24 9:59
2636,【没啥用科技】春季发布会-重新定义未来电脑,没啥用科技,黑科技 电脑 搞笑,科技 数码,4477840,1442998,491557,496510,127182,42289,21116,5610,5219.154167,0.109775472,0.110881586,0.028402533,0.009444062,109,2021/4/20 22:50,2021/11/24 9:59
2637,鲁迅表弟被逼疯？《狂人日记》诞生！9.2高燃民国历史剧《觉醒年代》P4,木鱼水心,影视杂谈,影视 影视杂谈,3615862,7956170,302952,184082,51812,9281,43369,4312,5219.398056,0.083784171,0.050909576,0.014329087,0.002566746,109,2021/4/20 22:35,2021/11/24 9:59
2638,乘 风 破 浪 的 冰 冰,央视新闻,冲浪 王冰冰,资讯 社会,2927392,7558102,207748,32344,23380,14279,7891,5430,5299.919722,0.070966922,0.011048742,0.007986631,0.004877721,109,2021/4/17 14:04,2021/11/24 9:59
2639,您的快递到了！提前签收10年后奔驰是什么体验？,终极小腾,上海 机械 开箱 汽车,汽车 智能出行,4708543,1770392,268565,77799,25969,30769,9375,3544,5268.763889,0.057037814,0.016522946,0.005515294,0.006534718,109,2021/4/18 21:13,2021/11/24 9:59
2640,这是我吃过最棒炒饭！不信的话，请试试看。。,绵羊料理,一人食 烹饪 家常菜 厨艺 美食,美食 美食制作,9673851,8768326,770298,393300,116992,33505,15433,6823,5248.996111,0.079626821,0.040655991,0.012093633,0.00346346,109,2021/4/19 17:00,2021/11/24 9:59
2641,你不笑算我输！【新概念倒放挑战】第二期,啊吗粽,搞笑挑战 搞笑,生活 搞笑,4748483,4112942,586140,262501,84992,49523,25411,5349,5276.978889,0.123437317,0.055281023,0.017898769,0.010429226,109,2021/4/18 13:01,2021/11/24 9:59
2642,DIO只会心疼JOJO~~！,怪物彼岸花,JOJO的奇妙冒险 声优,动画 短片·手书·配音,3287240,553992,265154,111185,93553,71703,3181,3648,5301.992222,0.080661588,0.033823207,0.028459437,0.021812524,109,2021/4/17 12:00,2021/11/24 9:59
